Site,Plot,Year,ALDE,BRAR5,BRBR5,BRTE,BUAR3,CHJU,ERCI6,HOUM,LASE,POBU,SECE,SIAL2,TACA8,TRDU,VEDU,VUMY
6,2,2024,0,0,0.725806452,0.080645161,0,0.129032258,0,0,0.016129032,0,0,0,0,0.048387097,0,0
6,3,2021,0,0.018867925,0.264150943,0.264150943,0,0.20754717,0.018867925,0,0.20754717,0.018867925,0,0,0,0,0,0
6,3,2022,0,0,0.24691358,0.135802469,0,0.074074074,0.012345679,0,0.320987654,0.209876543,0,0,0,0,0,0
6,3,2023,0,0.12962963,0.314814815,0.037037037,0,0.296296296,0.018518519,0,0.037037037,0.166666667,0,0,0,0,0,0
6,3,2024,0,0,0.621621622,0.175675676,0.040540541,0.054054054,0,0,0.013513514,0.094594595,0,0,0,0,0,0
6,4,2021,0,0,0,0.658536585,0,0.243902439,0,0,0.097560976,0,0,0,0,0,0,0
6,4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,2023,0,0,0.035714286,0.071428571,0,0.785714286,0,0,0,0.035714286,0.071428571,0,0,0,0,0
6,4,2024,0,0,0.142857143,0.057142857,0.171428571,0.571428571,0,0,0,0,0.057142857,0,0,0,0,0
6,5,2021,0,0,0,0.519230769,0,0.211538462,0,0,0.076923077,0.019230769,0.173076923,0,0,0,0,0
6,5,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,2023,0,0,0,0.043478261,0,0.782608696,0,0,0,0,0.173913043,0,0,0,0,0
6,5,2024,0,0,0,0.35,0.2,0.3,0,0,0,0,0.15,0,0,0,0,0
6,6,2021,0,0.033333333,0.066666667,0.733333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0
6,6,2022,0,0,0,0.333333333,0,0,0,0,0,0,0.666666667,0,0,0,0,0
6,6,2023,0,0.076923077,0,0,0,0.692307692,0,0,0.076923077,0,0.153846154,0,0,0,0,0
6,6,2024,0,0.222222222,0,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0
6,7,2021,0,0,0,0.706896552,0,0.137931034,0,0.034482759,0.017241379,0.034482759,0.051724138,0,0,0.017241379,0,0
6,7,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,2023,0,0,0,0.2,0,0.6,0.1,0,0,0.1,0,0,0,0,0,0
6,7,2024,0,0,0,0.6,0,0.24,0.12,0,0,0,0,0,0,0.04,0,0
6,8,2021,0,0,0,0.727272727,0,0.127272727,0.036363636,0,0.018181818,0.036363636,0.054545455,0,0,0,0,0
6,8,2022,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
6,8,2023,0,0,0,0,0,0.375,0.03125,0,0,0.0625,0.53125,0,0,0,0,0
6,8,2024,0,0,0,0.029411765,0,0.617647059,0,0,0,0,0.323529412,0,0,0.029411765,0,0
6,9,2021,0,0.039215686,0,0.784313725,0,0.117647059,0,0,0,0.039215686,0.019607843,0,0,0,0,0
6,9,2022,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0
6,9,2023,0,0,0,0.133333333,0,0.8,0,0,0,0,0.066666667,0,0,0,0,0
6,9,2024,0,0,0,0,0,0.8125,0,0,0,0.0625,0.125,0,0,0,0,0
6,10,2021,0,0,0,0.708333333,0,0.1875,0,0,0.020833333,0,0.083333333,0,0,0,0,0
6,10,2022,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0
6,10,2023,0,0,0,0,0,0.793103448,0,0,0,0,0.206896552,0,0,0,0,0
6,10,2024,0,0,0,0.275862069,0,0.551724138,0,0,0,0.103448276,0.068965517,0,0,0,0,0
6,11,2021,0,0.035087719,0,0.719298246,0,0.122807018,0.070175439,0,0.01754386,0,0.035087719,0,0,0,0,0
6,11,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,2023,0,0,0,0.111111111,0,0.444444444,0,0,0,0,0.444444444,0,0,0,0,0
6,11,2024,0,0.181818182,0,0.181818182,0,0.431818182,0.022727273,0,0,0,0.181818182,0,0,0,0,0
6,12,2021,0,0,0.142857143,0.547619048,0,0.095238095,0,0.023809524,0.142857143,0,0,0,0,0.047619048,0,0
6,12,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,12,2024,0,0,0.085714286,0.171428571,0.028571429,0.657142857,0,0,0,0,0,0,0,0.057142857,0,0
6,13,2021,0,0,0.02,0.78,0,0.18,0,0,0.02,0,0,0,0,0,0,0
6,13,2022,0,0.117647059,0.029411765,0.323529412,0,0.205882353,0.117647059,0,0.205882353,0,0,0,0,0,0,0
6,13,2023,0,0.344827586,0.051724138,0.137931034,0,0.362068966,0.068965517,0,0.017241379,0,0,0,0,0.017241379,0,0
6,13,2024,0,0.367924528,0.066037736,0.330188679,0,0.169811321,0.028301887,0,0,0,0,0,0,0.037735849,0,0
7,1,2021,0,0,0,0.035714286,0,0.678571429,0,0.035714286,0,0.142857143,0,0,0.071428571,0,0,0.035714286
7,1,2022,0,0,0,0.137254902,0,0.666666667,0.019607843,0,0,0.098039216,0,0,0.078431373,0,0,0
7,1,2023,0,0,0,0.084745763,0,0.593220339,0,0,0,0.169491525,0,0,0.06779661,0,0,0.084745763
7,1,2024,0,0,0,0.066666667,0,0.755555556,0,0,0,0.066666667,0,0,0.111111111,0,0,0
7,2,2021,0,0,0,0.686567164,0,0.253731343,0.059701493,0,0,0,0,0,0,0,0,0
7,2,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2,2023,0,0,0,0.111111111,0,0.814814815,0.074074074,0,0,0,0,0,0,0,0,0
7,2,2024,0,0,0,0.048780488,0,0.780487805,0.170731707,0,0,0,0,0,0,0,0,0
7,3,2021,0,0,0,0.823529412,0,0.117647059,0.058823529,0,0,0,0,0,0,0,0,0
7,3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,3,2024,0,0,0,0.454545455,0,0.409090909,0.136363636,0,0,0,0,0,0,0,0,0
7,4,2021,0,0,0,0.605263158,0,0.315789474,0.078947368,0,0,0,0,0,0,0,0,0
7,4,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,4,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,4,2024,0,0,0,0.227272727,0,0.772727273,0,0,0,0,0,0,0,0,0,0
