"","Species","Scientific","Common","Native_Exotic_Planted","Invasive","Growth_form","Life_history","Functional.group","GroupedFunctional"
"55","ERWI","Eriastrum wilcoxii (A. Nelson) H. Mason","Wilcox's woollystar","Native","N","Forb","Annual","NAF","AF"
"56","GAILU","Galium L","bedstraw","Native","N","Forb","Annual","NAF","AF"
"57","GRSQ","Grindelia squarrosa (Pursh) Dunal","curlycup gumweed","Native","N","Forb","Perennial","NPF","PF"
"58","HEAN3","Helianthus annuus L.","common sunflower","Native","N","Forb","Annual","NAF","AF"
"59","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth","needle and thread","Native","N","Grass","Perennial","PG","PG"
"60","HEUN","Helianthella uniflora (Nutt.) Torr. & A. Gray","oneflower helianthella","Native","N","Forb","Perennial","NPF","PF"
"61","HISC2","Hieracium scouleri Hook.","Scouler's woollyweed","Native","N","Forb","Perennial","NPF","PF"
"62","HOUM","Holosteum umbellatum L.","jagged chickweed","Exotic","Y","Forb","Annual","EAF","AF"
"63","HYCA4","Hydrophyllum capitatum Douglas ex Benth.","ballhead waterleaf","Native","N","Forb","Perennial","NPF","PF"
"64","KOMA","Koeleria macrantha (Ledeb.) Schult.","prairie Junegrass","Native","N","Grass","Perennial","PG","PG"
"65","LARA","Lagophylla ramosissima Nutt.","branched lagophylla","Native","N","Forb","Annual","NAF","AF"
"66","LASE","Lactuca serriola L.","prickly lettuce","Exotic","Y","Forb","Annual","EAF","AF"
"67","LECI4","Leymus cinereus","basin wildrye","Native","N","Grass","Perennial","PG","PG"
"68","LIRU4","Lithospermum ruderale Douglas ex Lehm.","western stoneseed","Native","N","Forb","Perennial","NPF","PF"
"69","LONU2","Lomatium nudicaule (Pursh) J.M. Coult. & Rose","barestem biscuitroot","Native","N","Forb","Perennial","NPF","PF"
"70","LUPIN","Lupinus L.","lupine","Native","N","Forb","Perennial","NPF","PF"
"71","MADIA","Madia Molina","tarweed","Native","N","Forb","Annual","NAF","AF"
"72","MICRO6","Microseris D. Don","silverpuffs","Native","N","Forb","Perennial","NPF","PF"
"73","MIGR","Microsteris gracilis (Hook.) Greene","slender phlox","Native","N","Forb","Annual","NAF","AF"
"74","MUSH","Mushroom","","","N","","","",""
"75","MYST2","Myosotis stricta Link ex Roem. & Schult.","strict forget-me-not","Exotic","N","Forb","Annual","EAF","AF"
"76","OACMI","The ACMI2 we planted","","Native","N","Forb","Perennial","NPF","PF"
