Year,Season,Year_Season,Site,Plot,Depth,watercontent_g.g.instant,WHC_g.g.instant,NH4.instant,NO3.instant,N_ug.g.instant,watercontent_g.g.incubated,WHC_g.g.incubated,NH4.incubated,NO3.incubated,N_ug.g.incubated
2022,Spring,2022Spring,1,4,0-10,0.038027,0.451895,1.527765,0.224617,1.752382,0.038027,0.451895,0.303838,0.531722,0.83556
2022,Spring,2022Spring,1,5,0-10,0.026591,0.420319,3.075072,6.713836,9.788908,0.026591,0.420319,0.272833,1.007473,1.280306
2022,Spring,2022Spring,1,6,0-10,0.044598,0.402246,2.203137,4.456582,6.65972,0.044598,0.402246,0.27426,0.979337,1.253596
2022,Spring,2022Spring,1,7,0-10,0.024352,0.39386,2.225245,5.244018,7.469264,0.024352,0.39386,0.309264,0.994436,1.3037
2022,Spring,2022Spring,1,8,0-10,0.044121,0.470752,4.376711,2.64229,7.019002,0.044121,0.470752,0.27115,1.002209,1.273359
2022,Spring,2022Spring,1,9,0-10,0.043842,0.395929,1.249874,3.411042,4.660916,0.043842,0.395929,0.212148,0.876894,1.089042
2022,Spring,2022Spring,1,10,0-10,0.05949,0.47075,1.752677,1.326043,3.078719,0.05949,0.47075,0.219718,0.857032,1.07675
2022,Spring,2022Spring,1,11,0-10,0.022364,0.352009,1.583536,0.288812,1.872348,0.022364,0.352009,0.266848,1.005926,1.272774
2022,Spring,2022Spring,1,12,0-10,0.025139,0.412077,2.176636,2.631685,4.808321,0.025139,0.412077,0.287177,0.716763,1.00394
2022,Spring,2022Spring,1,13,0-10,0.01727,0.402935,1.396823,0.255595,1.652418,0.01727,0.402935,0.250771,1.081512,1.332283
2022,Spring,2022Spring,2,1,0-10,0.011951,0.386988,2.686086,2.555976,5.242062,0.011951,0.386988,2.106722,0.017699,2.124422
2022,Spring,2022Spring,2,2,0-10,0.019581,0.374907,2.10309,0.274391,2.37748,0.019581,0.374907,0.242185,0.949543,1.191728
2022,Spring,2022Spring,2,3,0-10,0.009474,0.354061,2.053126,1.679193,3.732319,0.009474,0.354061,0.25692,0.974649,1.231569
2022,Spring,2022Spring,2,4,0-10,0.010701,0.52257,1.203959,3.520898,4.724857,0.010701,0.52257,0.233929,0.843174,1.077103
2022,Spring,2022Spring,2,5,0-10,0.01419,0.156613,1.591532,2.972508,4.56404,0.01419,0.156613,0.337102,0.935196,1.272298
2022,Spring,2022Spring,2,6,0-10,0.016814,0.425012,2.953593,4.006507,6.9601,0.016814,0.425012,0.306215,1.013457,1.319672
2022,Spring,2022Spring,2,7,0-10,0.031246,0.583762,2.328297,3.202748,5.531044,0.031246,0.583762,0.22546,0.963913,1.189373
2022,Spring,2022Spring,2,8,0-10,0.029919,0.409488,3.240853,3.819878,7.060731,0.029919,0.409488,0.195372,0.927716,1.123088
2022,Spring,2022Spring,2,9,0-10,0.023661,0.449387,3.584252,0.309385,3.893637,0.023661,0.449387,0.277295,1.130239,1.407534
2022,Spring,2022Spring,2,10,0-10,0.017192,0.478916,2.346017,5.566079,7.912096,0.017192,0.478916,0.166322,1.018363,1.184685
2022,Spring,2022Spring,2,11,0-10,0.031436,0.496862,5.397951,2.88726,8.28521,0.031436,0.496862,0.253453,1.075907,1.32936
2022,Spring,2022Spring,2,12,0-10,0.025743,0.424047,1.952372,5.126099,7.078471,0.025743,0.424047,0.149485,1.025843,1.175328
2022,Spring,2022Spring,2,13,0-10,0.010793,0.449868,2.048682,0.462082,2.510764,0.010793,0.449868,0.207835,0.101457,0.309292
2022,Spring,2022Spring,3,1,0-10,0.050797,0.407282,2.359625,1.451618,3.811244,0.050797,0.407282,0.254336,0.944534,1.19887
2022,Spring,2022Spring,3,2,0-10,0.07097,0.519986,2.977743,4.836776,7.814519,0.07097,0.519986,0.239724,1.003655,1.243379
2022,Spring,2022Spring,3,3,0-10,0.024015,0.477648,1.534804,0.19495,1.729754,0.024015,0.477648,0.280761,1.161935,1.442696
2022,Spring,2022Spring,3,4,0-10,0.04824,0.475566,2.401213,3.576434,5.977648,0.04824,0.475566,0.248424,1.005439,1.253863
2022,Spring,2022Spring,3,5,0-10,0.030964,0.501389,3.352666,5.088882,8.441549,0.030964,0.501389,0.267882,1.240344,1.508227
2022,Spring,2022Spring,3,6,0-10,0.038577,0.428529,1.702596,4.19771,5.900306,0.038577,0.428529,0.23102,0.961119,1.192139
2022,Spring,2022Spring,3,7,0-10,0.044612,0.523575,2.516397,5.277916,7.794313,0.044612,0.523575,0.252798,1.108714,1.361511
2022,Spring,2022Spring,3,8,0-10,0.042409,0.469776,1.491987,5.302981,6.794967,0.042409,0.469776,0.184438,0.677982,0.86242
2022,Spring,2022Spring,3,9,0-10,0.026596,0.500208,1.995062,0.050237,2.045299,0.026596,0.500208,0.199661,0.922394,1.122055
2022,Spring,2022Spring,3,10,0-10,0.017151,0.494317,1.703398,0.054598,1.757996,0.017151,0.494317,0.234612,0.639779,0.874391
2022,Spring,2022Spring,3,11,0-10,0.042815,0.507337,1.601862,5.320824,6.922686,0.042815,0.507337,0.280901,0.982102,1.263003
2022,Spring,2022Spring,3,12,0-10,0.031294,0.634248,1.957851,2.841076,4.798928,0.031294,0.634248,0.237834,0.876832,1.114667
2022,Spring,2022Spring,3,13,0-10,0.031928,0.345461,1.399455,2.15583,3.555286,0.031928,0.345461,0.225465,0.817209,1.042674
2022,Spring,2022Spring,4,1,0-10,0.023431,0.320517,2.076147,3.325097,5.401244,0.023431,0.320517,0.140134,0.946904,1.087038
2022,Spring,2022Spring,4,2,0-10,0.024,0.341586,2.323661,2.969867,5.293528,0.024,0.341586,0.139444,0.966085,1.105528
2022,Spring,2022Spring,4,3,0-10,0.025578,0.395379,2.696467,5.989052,8.685519,0.025578,0.395379,0.193413,1.05548,1.248893
2022,Spring,2022Spring,4,4,0-10,0.022186,0.347624,1.258642,0.549922,1.808564,0.022186,0.347624,0.113605,1.299294,1.412899
2022,Spring,2022Spring,4,5,0-10,0.015698,0.335689,2.270559,4.622693,6.893252,0.015698,0.335689,0.12076,0.946802,1.067563
2022,Spring,2022Spring,4,6,0-10,0.041642,0.390479,6.802639,6.295017,13.09766,0.041642,0.390479,0.151103,1.11047,1.261573
2022,Spring,2022Spring,4,7,0-10,0.058397,0.37178,3.13813,4.212213,7.350343,0.058397,0.37178,0.126666,0.947982,1.074648
2022,Spring,2022Spring,4,8,0-10,0.012094,0.364851,2.568412,0.316508,2.88492,0.012094,0.364851,0.141856,1.314067,1.455923
2022,Spring,2022Spring,4,9,0-10,0.049219,0.391376,2.25132,3.734354,5.985674,0.049219,0.391376,0.115374,0.9232,1.038574
2022,Spring,2022Spring,4,10,0-10,0.034342,0.38585,1.344215,3.576692,4.920908,0.034342,0.38585,0.130555,1.088525,1.21908
2022,Spring,2022Spring,4,11,0-10,0.033984,0.377409,1.918867,6.714985,8.633852,0.033984,0.377409,0.150567,1.050984,1.20155
2022,Spring,2022Spring,4,12,0-10,0.016009,0.36642,2.226706,0.591998,2.818704,0.016009,0.36642,0.146654,1.458247,1.6049
2022,Spring,2022Spring,4,13,0-10,0.054208,0.424975,1.41697,3.615104,5.032074,0.054208,0.424975,0.155433,0.953347,1.10878
2022,Spring,2022Spring,5,1,0-10,0.0376,0.45402,1.711459,3.677074,5.388533,0.0376,0.45402,0.252156,0.99539,1.247546
2022,Spring,2022Spring,5,2,0-10,0.042485,0.418081,2.605951,3.92614,6.53209,0.042485,0.418081,0.16998,0.927765,1.097745
2022,Spring,2022Spring,5,3,0-10,0.04213,0.422342,1.795033,5.778262,7.573295,0.04213,0.422342,0.145181,1.09413,1.239311
2022,Spring,2022Spring,5,4,0-10,0.021105,0.391533,1.52476,0.037065,1.561826,0.021105,0.391533,0.117741,1.513283,1.631024
2022,Spring,2022Spring,5,5,0-10,0.015442,0.406752,1.427185,3.237202,4.664387,0.015442,0.406752,0.126717,0.995758,1.122474
2022,Spring,2022Spring,5,6,0-10,0.014699,0.462256,1.033099,0.118437,1.151536,0.014699,0.462256,0.153637,0.139716,0.293353
2022,Spring,2022Spring,5,7,0-10,0.039031,0.449433,1.973328,4.382388,6.355716,0.039031,0.449433,0.169587,1.017796,1.187382
