Site,Plot,Year,Sprayed,Size,Long,Lat,coords.UTM1,coords.UTM2,elevation,slope,aspect,TPI,TRI,SWness,Heatload,cover.all,foliar.cover.all,richness.all,diversity.all,evenness.all,cover.inv,foliar.cover.inv,diversity.inv,evenness.inv,richness.inv,Season,sand,clay,silt,pre_totaldiversity,pre_invdiversity,pre_natdiversity,pre_totalrichness,pre_invrichness,pre_natrichness,pre_natcover_abs,pre_invcover_abs,pre_natcover_rel,pre_invcover_rel,pre_totplantcov
3,5,2021,Yes,2x2,-116.008,43.56674,580129.6,4824232,1030.009,16.50812,123.8842,-0.02136,2.25766,-0.19279,0.688767,0.961,1.628,8,1.44413963,0.69448436,0.902,1.314,0.53624366,0.48811002,5,Fall,65.22813248,7.318767853,27.45309967,1.443446998,1.312384444,0.636514168,8,6,2,0.058823529,0.960784314,0.057692308,0.942307692,0.960784314
3,6,2021,Yes,2x2,-116.008,43.56688,580124.1,4824247,1035.748,17.60232,118.1236,0.030685,2.464737,-0.29031,0.663464,0.726,1.039,4,1.04494611,0.75376929,0.667,0.902,1.22342157,0.88251212,3,Fall,61.74299721,6.823276412,31.43372638,1.044108439,1.044108439,0,4,4,0,0,0.725490196,0,1,0.725490196
3,7,2021,Yes,2x2,-116.008,43.56692,580138.9,4824252,1032.951,16.68012,116.0085,-0.01564,2.35817,-0.32543,0.657846,0.863,1.334,6,1.33655556,0.74594586,0.765,1.098,0.52744498,0.38047113,4,Fall,63.39807358,7.484604453,29.11732196,1.334278579,1.276400372,0,6,5,1,0.019607843,0.862745098,0.022222222,0.977777778,0.862745098
3,8,2021,Yes,2x2,-116.007,43.5665,580185.7,4824206,1017.343,8.395087,130.4847,-0.05653,1.176147,-0.07873,0.705332,0.764,0.941,4,1.04000678,0.75020631,0.588,0.686,0.79765641,0.72605815,3,Fall,52.87768398,8.665818588,38.45649744,1.038840426,1.038840426,0,4,4,0,0,0.764705882,0,1,0.764705882
3,9,2021,No,2x2,-116.007,43.56642,580195.2,4824197,1015.676,7.385985,131.9316,0.266174,1.085785,-0.05353,0.705518,0.922,1.568,4,1.08318232,0.78135088,0.608,0.823,1.03748263,0.6446242,3,Fall,55.12621686,7.324501579,37.54928156,1.083921311,1.083921311,0,4,4,0,0,0.921568627,0,1,0.921568627
4,1,2021,Yes,2x2,-116.016,43.5839,579427.9,4826129,1190.627,15.62389,227.9223,-0.14592,2.109879,0.9987,0.825713,0.648,0.981,5,1.01939663,0.63338674,0.648,0.961,0.93899746,0.67734349,4,Fall,85.87716072,3.066142738,11.05669654,1.016779205,0.93748989,0,5,4,1,0.019607843,0.647058824,0.029411765,0.970588235,0.647058824
4,10,2021,Yes,2x2,-116.016,43.58233,579445.6,4825956,1165.188,19.78383,146.2677,0.01268,2.779739,0.195393,0.782062,0.784,1.04,6,0.95749607,0.53438873,0.784,0.961,0.84497902,0.76913305,4,Fall,83.11288886,5.216719047,11.67039209,0.955818176,0.698529049,0.562335145,6,4,2,0.078431373,0.784313725,0.090909091,0.909090909,0.784313725
4,11,2021,Yes,2x2,-116.016,43.58239,579455.5,4825962,1162.955,20.04699,147.4443,-0.35039,2.843887,0.215491,0.787645,0.844,1.295,5,1.21078885,0.75230541,0.824,1.256,1.09795758,0.6821994,4,Fall,84.37747546,4.766660926,10.85586361,1.211435776,1.109255624,0,5,4,1,0.039215686,0.823529412,0.045454545,0.954545455,0.843137255
4,12,2021,No,2x2,-116.016,43.58248,579458.8,4825972,1166.406,19.99441,152.0815,0.107086,2.82959,0.293732,0.806124,0.765,1.098,4,0.89951894,0.64886575,0.745,1.078,0.68784335,0.99234819,3,Fall,83.32696516,4.918545278,11.75448956,0.898844553,0.823980463,0,4,3,1,0.019607843,0.764705882,0.025,0.975,0.764705882
4,13,2021,Yes,2x2,-116.016,43.58252,579467.8,4825977,1168.15,16.75339,161.2361,0.033585,2.348862,0.442071,0.819602,0.981,1.686,5,1.29138737,0.80238409,0.961,1.549,0.76510283,0.55190503,4,Fall,85.38450228,3.49948537,11.11601235,1.291993972,1.099308425,0,5,4,1,0.137254902,0.960784314,0.125,0.875,0.980392157
