Site,Plot,Year,AMSIN,BRAR5,BRTE,CHJU,EPBR3,ERCI6,HOUM,LARA,LASE,ARTR2,BRBR5,CRYPT,ERWI,LUPIN,MYST2,POBU,VEDU,BASA3,ELEL5,MADIA,OARTR,OPSSP,VUMY,OACMI,TACA8,OERNA,TRDU,ACMI2,POSE,CREPI,LONU2,PODO4,BLSC,DACA3,PHLO2,THIN6,PHAC2,AGPA14,ERAP,DRVE2,PSSP6,PHHA,ACTH7,HECO26,CLPE,VIOLA,CALOC,OELEL,ALDE,ERVI5,LECI4,SECE,ERUM,AMAL,CHMA15,PHHE2,HEAN3,APAN2,ELGL,UNKFRB3,COGR4,LIRU4,BUAR3,PUTR2,HEUN,POMI,ARLO6,ERHE2,PREM,BRIN2,ASAD2,GALIU,COUM,VIPU4,ERNA10,KOMA,APIN,SIAL2,POPR,HISC2,AGCR,ERTR13,DESO2,DEPI,SIDO,UKFB2,ELRE4,ROWO,PLTE,TAOF
1,10,2023,0,0,0,0,0.074074074,0,0,0,0.037037037,0,0,0,0,0.111111111,0,0.296296296,0,0.037037037,0.037037037,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.037037037,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,2024,0,0.073170732,0.073170732,0,0,0,0,0,0,0,0,0,0,0.170731707,0,0,0,0,0.146341463,0,0,0,0,0,0,0,0,0,0.536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419355,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2022,0,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0,0,0,0,0.020408163,0,0.020408163,0,0,0.367346939,0,0,0,0,0.530612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2023,0,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0.106382979,0.021276596,0,0,0,0,0,0,0,0,0.021276596,0,0,0.212765957,0,0.021276596,0,0,0.574468085,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0,0,0.511111111,0,0.022222222,0,0,0.377777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2021,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0.102564103,0,0,0,0,0,0,0,0,0,0.461538462,0,0,0,0,0.102564103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0.108695652,0,0,0,0,0,0,0,0,0,0.52173913,0,0,0,0,0.282608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2023,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0.291666667,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0.270833333,0,0,0.041666667,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2024,0,0,0,0.018867925,0.037735849,0,0,0,0,0,0,0,0,0,0,0.150943396,0,0,0.037735849,0,0,0,0,0,0,0,0,0,0.452830189,0,0,0,0,0.301886792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0.032258065,0.580645161,0,0,0,0,0.322580645,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2022,0.016949153,0,0.033898305,0,0.093220339,0,0.025423729,0,0.016949153,0,0,0,0,0,0.016949153,0.279661017,0,0,0.008474576,0,0,0.008474576,0.008474576,0.008474576,0,0,0,0,0.13559322,0,0,0.025423729,0,0.271186441,0,0,0,0,0.016949153,0.025423729,0.008474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2023,0,0.04109589,0,0,0.369863014,0,0,0,0,0,0,0,0,0,0,0.178082192,0.04109589,0,0,0,0,0,0.04109589,0,0.01369863,0,0,0,0.068493151,0,0,0.01369863,0,0.191780822,0,0,0,0,0.01369863,0.02739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2024,0,0.193548387,0,0,0.043010753,0,0.010752688,0,0,0,0,0,0,0,0,0.150537634,0,0,0,0,0,0,0.032258065,0.021505376,0.010752688,0,0,0,0.172043011,0,0.010752688,0,0,0.322580645,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2021,0,0,0.323529412,0.470588235,0,0.073529412,0,0,0,0,0,0,0,0,0,0.044117647,0,0,0,0,0,0,0.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2022,0,0,0.377777778,0.511111111,0,0,0,0,0,0.022222222,0,0,0,0,0,0.022222222,0,0,0,0,0,0.022222222,0,0,0,0.022222222,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
